Year,Fahrenheit High Temp,Fahrenheit Min Temp,Precipitation,Snow,White Christmas,Traffic
1871,,,0,,Not Defined,LOW
1872,20,4,0,,Not Defined,LOW
1873,38,33,0,,Not Defined,HIGH
1874,43,23,0,,Not Defined,LOW
1875,43,30,0,,Not Defined,LOW
1876,28,21,0.03,,Not Defined,LOW
1877,50,42,0.34,,Not Defined,MEDIUM
1878,15,3,0,,Not Defined,HIGH
1879,15,2,0.34,,Not Defined,MEDIUM
1880,34,28,0.01,,Not Defined,HIGH
1881,44,35,0,,Not Defined,MEDIUM
1882,40,33,0.22,,Not Defined,HIGH
1883,32,24,0,,Not Defined,MEDIUM
1884,18,8,0.11,1.4,TRUE,HIGH
1885,37,30,0.02,,Not Defined,LOW
1886,35,18,0.17,1.9,TRUE,HIGH
1887,23,14,,,Not Defined,HIGH
1888,39,35,0.02,0,FALSE,MEDIUM
1889,47,33,0,0,FALSE,MEDIUM
1890,28,20,0,0,FALSE,MEDIUM
1891,52,34,,0,FALSE,MEDIUM
1892,10,-2,0.03,0.3,TRUE,LOW
1893,52,30,0.03,,Not Defined,MEDIUM
1894,31,24,0,0,FALSE,HIGH
1895,56,33,0,0,FALSE,MEDIUM
1896,31,15,0,0,FALSE,LOW
1897,32,18,0,,Not Defined,MEDIUM
1898,29,26,0.05,,Not Defined,MEDIUM
1899,15,6,0,,Not Defined,HIGH
1900,18,12,,,Not Defined,MEDIUM
1901,35,29,0.16,0,FALSE,MEDIUM
1902,10,5,,,Not Defined,LOW
1903,23,-3,0.26,3.2,TRUE,HIGH
1904,29,25,0.01,,Not Defined,MEDIUM
1905,34,24,,,Not Defined,LOW
1906,34,26,0,0,FALSE,LOW
1907,39,31,,,Not Defined,MEDIUM
1908,35,27,0,0,FALSE,HIGH
1909,31,23,0.5,5,TRUE,HIGH
1910,32,13,0.03,0.3,TRUE,HIGH
1911,37,32,0,0,FALSE,MEDIUM
1912,43,32,0,0,FALSE,HIGH
1913,38,34,0,0,FALSE,HIGH
1914,16,-1,,,Not Defined,MEDIUM
1915,34,20,0.12,1.1,TRUE,LOW
1916,32,19,0,0,FALSE,MEDIUM
1917,22,14,0,0,FALSE,HIGH
1918,28,21,0.04,0.4,TRUE,MEDIUM
1919,31,19,0,0,FALSE,LOW
1920,22,10,0.1,0.8,TRUE,LOW
1921,23,8,,,Not Defined,HIGH
1922,45,31,0,0,FALSE,MEDIUM
1923,38,34,0.11,0.1,TRUE,MEDIUM
1924,6,-6,0,0,FALSE,HIGH
1925,27,5,0.01,0.1,TRUE,HIGH
1926,30,15,,,Not Defined,HIGH
1927,35,24,0,0,FALSE,HIGH
1928,39,29,0,0,FALSE,MEDIUM
1929,29,24,0.01,0.2,TRUE,MEDIUM
1930,40,29,,0,FALSE,LOW
1931,39,33,0,0,FALSE,HIGH
1932,49,32,0,0,FALSE,HIGH
1933,21,7,0.28,4.3,TRUE,LOW
1934,30,27,0.04,0.5,TRUE,HIGH
1935,26,-2,0.19,3.9,TRUE,LOW
1936,56,46,0.11,0,FALSE,LOW
1937,33,24,0,0,FALSE,MEDIUM
1938,28,20,,,Not Defined,HIGH
1939,43,27,0,0,FALSE,HIGH
1940,50,42,0.07,0,FALSE,HIGH
1941,39,35,0.11,,Not Defined,LOW
1942,36,33,,,Not Defined,HIGH
1943,46,26,0,0,FALSE,HIGH
1944,25,0,0.04,0.5,TRUE,HIGH
1945,37,27,0.19,0.8,TRUE,HIGH
1946,46,16,0,0,FALSE,HIGH
1947,33,18,0.09,1.8,TRUE,MEDIUM
1948,22,13,0.01,0.6,TRUE,LOW
1949,39,31,0.35,0.1,TRUE,MEDIUM
1950,20,6,0.5,5.1,TRUE,LOW
1951,30,23,0.32,4,TRUE,HIGH
1952,30,22,,,Not Defined,LOW
1953,38,27,0,0,FALSE,LOW
1954,45,31,0,0,FALSE,HIGH
1955,40,29,,,Not Defined,MEDIUM
1956,30,28,0.02,0.3,TRUE,MEDIUM
1957,45,35,0.38,0,FALSE,MEDIUM
1958,37,27,,,Not Defined,LOW
1959,45,25,,0,FALSE,HIGH
1960,41,13,0,0,FALSE,HIGH
1961,27,5,,,Not Defined,MEDIUM
1962,26,12,0.1,1.2,TRUE,HIGH
1963,39,18,0,0,FALSE,HIGH
1964,30,22,0.2,1.5,TRUE,HIGH
1965,35,30,0.34,2.9,TRUE,MEDIUM
1966,27,16,0,0,FALSE,MEDIUM
1967,37,12,0.09,1.1,TRUE,LOW
1968,18,1,,,Not Defined,HIGH
1969,28,21,,,Not Defined,HIGH
1970,26,9,0.1,1.3,TRUE,LOW
1971,55,30,0.01,0,FALSE,HIGH
1972,35,30,0.03,0.4,TRUE,MEDIUM
1973,44,34,0.35,0,FALSE,MEDIUM
1974,24,13,,,Not Defined,MEDIUM
1975,35,28,0.01,0.3,TRUE,LOW
1976,34,23,,,Not Defined,MEDIUM
1977,15,0,,,Not Defined,HIGH
1978,25,13,0.01,0.7,TRUE,LOW
1979,38,32,0.05,,Not Defined,HIGH
1980,17,-8,,,Not Defined,HIGH
